id,name,abbreviation,displayName,location,color,alternateColor
291,Monarchs,MET,Methodist Monarchs,Methodist,000000,
292,Vaqueros,RIO,UT Rio Grande Valley Vaqueros,UT Rio Grande Valley,dc6000,e1732d
293,Spartans,CAS,Castleton State Spartans,Castleton State,000000,
294,Dolphins,JU,Jacksonville Dolphins,Jacksonville,00523e,
295,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1
297,Tigers,HAC,Hampden-Sydney Tigers,Hampden-Sydney,000000,
298,Nanooks,AKFB,Alaska Fairbanks Nanooks,Alaska Fairbanks,000000,
299,49ers,LBSU,Long Beach State 49ers,Long Beach State,000000,f1f2f3
300,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e
301,Toreros,USD,San Diego Toreros,San Diego,2f99d4,2f99d4
302,Aggies,UCD,UC Davis Aggies,UC Davis,183563,bc9305
303,Tars,ROLL,Rollins College Tars,Rollins College,000000,
304,Bengals,IDST,Idaho State Bengals,Idaho State,ef8c00,e9a126
305,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125
306,Titans,ILW,Illinois Wesleyan Titans,Illinois Wesleyan,000000,
308,Eagles,ASH,Ashland Eagles,Ashland,000000,
309,Ragin' Cajuns,UL,Louisiana Ragin' Cajuns,Louisiana,ce2842,
310,Saints,MSL,Maryville University Saints,Maryville University,,
311,Black Bears,ME,Maine Black Bears,Maine,127dbe,
313,Owls,KEEN,Keene State Owls,Keene State,,
314,Gaels,IONA,Iona Gaels,Iona,8c001a,f6a704
315,Purple Eagles,NIAG,Niagara Purple Eagles,Niagara,69207E,f0f0f0
316,Blue Hawks,DSU,Dickinson State Blue Hawks,Dickinson State,000000,
317,Pioneers,MAR,Marietta Pioneers,Marietta,000000,
319,Prophets,OB,Oklahoma Baptist Prophets,Oklahoma Baptist,,
322,Leopards,LAF,Lafayette Leopards,Lafayette,790000,a59474
323,Greyhounds,MOR,Moravian Greyhounds,Moravian,000000,
324,Chanticleers,CCU,Coastal Carolina Chanticleers,Coastal Carolina,007073,876447
325,Vikings,CLEV,Cleveland State Vikings,Cleveland State,006633,231f20
326,Bobcats,TXST,Texas State Bobcats,Texas State,4e1719,b4975a
328,Aggies,USU,Utah State Aggies,Utah State,003263,949ca1
329,Dolphins,MSV,Mount St. Vincent Dolphins,Mount St. Vincent,,
330,Trojans,VSU,Virginia State Trojans,Virginia State,000000,
331,Eagles,EWU,Eastern Washington Eagles,Eastern Washington,a10022,abb4bc
332,Fighting Muskies,MUSK,Muskingum Fighting Muskies,Muskingum,000000,
333,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3
335,Penmen,SNHU,Southern New Hampshire Penmen,Southern New Hampshire,,
336,Cardinals,WESN,Wesleyan Cardinals,Wesleyan,000000,
338,Owls,KENN,Kennesaw State Owls,Kennesaw State,000000,fdbb30
339,Purple Aces,EVAN,Evansville Purple Aces,Evansville,663399,ef6f00
340,Polar Bears,BOW,Bowdoin Polar Bears,Bowdoin,000000,
341,Bobcats,FRO,Frostburg State Bobcats,Frostburg State,000000,
342,Fighting Blue Jays,POL,Polytechnic Fighting Blue Jays,Polytechnic,,
343,Mohawks,MCLA,Massachusetts College Mohawks,Massachusetts College,,
344,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi State,762123,c8c8c8
345,Drew,DREW,Drew Drew,Drew,,
347,Soaring Eagles,ELM,Elmira Soaring Eagles,Elmira,000000,
348,Continentals,HAM,Hamilton Continentals,Hamilton,000000,
349,Black Knights,ARMY,Army Black Knights,Army,ce9c00,231f20
350,Seahawks,UNCW,UNC Wilmington Seahawks,UNC Wilmington,1d2f68,00665e
351,Bulldogs,WU,Wingate Bulldogs,Wingate,000000,
352,Lords,KEN,Kenyon Lords,Kenyon,000000,
353,Wildcats,JWRI,Johnson & Wales (RI) Wildcats,Johnson & Wales (RI),,
354,Comets,OLIV,Olivet College Comets,Olivet College,000000,
355,Red Dragons,ONE,Oneonta State Red Dragons,Oneonta State,,
356,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300
357,Islanders,AMCC,Texas A&M-CC Islanders,Texas A&M-CC,00639c,008752
358,,OSW,State University Col,State University Col,,
359,Cardinals,OTT,Otterbein Cardinals,Otterbein,000000,
361,Rams,PHI,Philadelphia Univers Rams,Philadelphia Univers,,
365,Saxons,ALF,Alfred Saxons,Alfred,000000,
366,Panthers,FERM,Ferrum Panthers,Ferrum,000000,
367,Golden Knights,GAN,Gannon Golden Knights,Gannon,000000,
368,Peregrines,PUC,Purdue-Calumet Peregrines,Purdue-Calumet,000000,
370,Scarlet Raptors,RUT,Rutgers-Camden Scarlet Raptors,Rutgers-Camden,,
374,Cardinals,SJFU,St. John Fisher Cardinals,St. John Fisher,000000,
375,Saints,STS,St. Scholastica Saints,St. Scholastica,000000,
379,,UMD,U-Mass Dartmouth,U-Mass Dartmouth,000000,
380,Trojans,AND,Anderson (SC) Trojans,Anderson (SC),000000,
381,Pirates ,ARM,Armstrong Atl St Pirates,Armstrong Atl St,,
382,Ospreys,RIC,Richard Stockton Ospreys,Richard Stockton,,
383,Rams,SUF,Suffolk University Rams,Suffolk University,,
386,Tigers,TRI,Trinity University (TX) Tigers,Trinity University (TX),000000,
387,Grenadiers,INSE,Indiana Southeast Grenadiers,Indiana Southeast,000000,
388,Leb,LEB,Leb Leb,Leb,000000,
389,Peacocks,UPIA,Upper Iowa University Peacocks,Upper Iowa University,000000,
390,Utica,UTICA,Utica Utica,Utica,000000,
391,Yeomen,OBE,Oberlin College Yeomen,Oberlin College,000000,
395,Falcons,STA,St. Augustine Falcons,St. Augustine,000000,
396,,WHE,Wheaton (IL),Wheaton (IL),000000,
398,Colonels,WLKS,Wilkes Colonels,Wilkes,000000,
399,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff
401,Yellowjackets,WIS,Wisconsin-Superior Yellowjackets,Wisconsin-Superior,,
